TeamID,PlayerID,PlayerFirstName,PlayerLastName
1,1,Barbara,Fournier
1,2,David,Fournier
1,3,John,Kennedy
1,4,Sara,Sheskey
2,5,Ann,Patterson
2,6,Neil,Patterson
2,7,David,Viescas
2,8,Stephanie,Viescas
3,9,Alastair,Black
3,10,David,Cunningham
3,11,Angel,Kennedy
3,12,Carol,Viescas
4,13,Elizabeth,Hallmark
4,14,Gary,Hallmark
4,15,Kathryn,Patterson
4,16,Richard,Sheskey
5,17,Kendra,Hernandez
5,18,Michael,Hernandez
5,19,John,Viescas
5,20,Suzanne,Viescas
6,21,Zachary,Ehrlich
6,22,Alaina,Hallmark
6,23,Caleb,Viescas
6,24,Sarah,Thompson
7,25,Megan,Patterson
7,26,Mary,Thompson
7,27,William,Thompson
7,28,Michael,Viescas
8,29,Bailey,Hallmark
8,30,Rachel,Patterson
8,31,Steve,Pundt
8,32,Joe,Rosales
9,33,Adam,Jay
9,34,Steve,Smity
9,35,Josey,Lane
9,36,Jersey,City
10,37,Art,Bails
10,38,Bill,Peterson
10,39,Kevin,Murray
10,40,Isiah,Greenland
